"Date de signalement","Numéro de Vélo",Localisation
"2023/02/05 10:33:22,609",55976,"28 Rue Biscornet, 75012 Paris, France"
"2023/02/05 10:49:31,490",52506,"3 Rue Louis Rousseau, 94200 Ivry-sur-Seine, France"
"2023/02/05 10:49:51,143",62672,"3 Rue Louis Rousseau, 94200 Ivry-sur-Seine, France"
"2023/02/05 10:55:18,713",55626,"15 Rue Charrière, 75011 Paris, France"
"2023/02/05 11:58:37,045",58751,"4 Rue Charrière, 75011 Paris, France"
"2023/02/05 11:54:48,509",61163,"39 Rue Beauregard 75002 Paris"
"2023/02/05 12:10:31,499",26071,"122 Rue Jean Bleuzen, 92170 Vanves, France"
"2023/02/05 14:59:41,684",57230,"171 Rue Véron 94140 Alfortville"
"2023/02/05 16:03:03,369",21735,"2 Rue Chrétien De Troyes 75012 Paris"
"2023/02/05 16:18:37,128",14032,"26 Avenue Du Général De Gaulle, 93170 Bagnolet, France"
"2023/02/05 16:19:27,917",26771,"28 Avenue Du Général De Gaulle, 93170 Bagnolet, France"
"2023/02/05 16:22:57,252",14802,"7 Square Des Écrivains Combattants Morts Pour La France 75016 Paris"
"2023/02/05 16:25:57,853",40867,"24 Rue Gambetta, 92000 Nanterre, France"
"2023/02/05 17:36:19,329",4473,"Rue Pierre Mauroy, 94230 Cachan, France"
"2023/02/05 18:19:06,640",53081,"5 Rue De La Collégiale 75005 Paris"
"2023/02/05 21:34:41,516",6438,"295 Rue Saint-Jacques, 75005 Paris, France"
"2023/02/05 23:36:46,284",55941,"4 Rue Sorbier, 75020 Paris, France"
"2023/02/05 23:40:28,569",7367,"205 Rue D'alésia, 75014 Paris, France"
"2023/02/06 08:08:31,450",12652,"80 Avenue Philippe Auguste 75011 Paris"
"2023/02/06 08:58:50,120",19399,"3 Avenue Matignon 75008 Paris"
"2023/02/06 08:56:51,956",60563,"Rond-Point Des Champs-Élysées - Marcel Dassault 75008 Paris"
"2023/02/06 09:31:41,163",60485,"4 Rue Anatole France 93370 Montfermeil"
"2023/02/06 09:41:21,840",8311,"6 Rue De Mazagran 75010 Paris"
"2023/02/06 09:47:21,254",11161,"52 Rue D'enghien 75010 Paris"
"2023/02/06 09:41:55,527",50562,"4 Rue De Mazagran 75010 Paris"
"2023/02/06 10:42:34,141",1092,"65 Avenue Aristide Briand 92120 Montrouge"
"2023/02/06 11:40:10,372",35717,"14 Rue Savier, 92240 Malakoff, France"
"2023/02/06 13:51:13,940",30141,"77 Rue De Seine, 75006 Paris, France"
"2023/02/06 13:57:28,034",51274,"2 Rue Mazarine, 75006 Paris, France"
"2023/02/06 15:45:10,730",45476,"2 Rue Vandrezanne 75013 Paris"
"2023/02/06 16:07:28,625",58691,"46 Avenue Raspail, 94250 Gentilly, France"
"2023/02/06 16:39:09,944",56502,"26b Rue De Charenton, 75012 Paris, France"
"2023/02/06 16:40:05,207",52531,"5 Rue De L'arsenal 75004 Paris"
"2023/02/06 17:16:11,011",23696,"Quai Jacques Chirac, 75007 Paris, France"
"2023/02/06 17:36:03,108",22200,"Boulevard Périphérique Extérieur 75020 Paris"
"2023/02/06 17:30:44,539",56558,"16 Rue Du Colonel Colonna D'ornano, 75015 Paris, France"
"2023/02/06 19:15:29,530",61562,"42 Rue De Berri 75008 Paris"
"2023/02/06 21:59:59,929",58579,"14p Square De La Salamandre, 75020 Paris, France"
"2023/02/06 22:00:02,218",58579,"14p Square De La Salamandre, 75020 Paris, France"
"2023/02/06 22:32:01,368",43655,"69 Avenue Édouard Vaillant, 92100 Boulogne-Billancourt, France"
"2023/02/07 08:09:42,515",12263,"14 Rue Demarquay, 75010 Paris, France"
"2023/02/07 09:35:42,104",55161,"14p Rue De La Grange Aux Belles, 75010 Paris, France"
"2023/02/07 09:35:57,622",62354,"14p Rue De La Grange Aux Belles, 75010 Paris, France"
"2023/02/07 10:19:47,519",63246,"51 Rue Violet 75015 Paris"
"2023/02/07 11:16:48,287",61756,"48 Rue De La Goutte D'or 75018 Paris"
"2023/02/07 11:51:20,034",8703,"3 Rue Paul Lecomte, 92700 Colombes, France"
"2023/02/07 12:02:25,953",52531,"5 Rue De L'arsenal 75004 Paris"
"2023/02/07 13:05:11,491",38780,"7 Rue Marguerite Boucicaut, 75015 Paris, France"
"2023/02/07 13:03:13,402",60307,"2 Avenue De Messine 75008 Paris"
"2023/02/07 13:14:04,541",56567,"159 Rue Saint-Honoré 75001 Paris"
"2023/02/07 13:31:14,957",60411,"66 Rue Mazarine, 75006 Paris, France"
"2023/02/07 13:59:06,445",56555,"D 7, 92400 Courbevoie, France"
"2023/02/07 14:08:52,506",41415,"3 Rue Saint-Fiacre 75002 Paris"
"2023/02/07 14:02:51,507",52233,"20 Rue Thérèse 75001 Paris"
"2023/02/07 14:56:09,824",61914,"8 Rue Custine 75018 Paris"
"2023/02/07 15:09:21,906",51054,"12 Rue De La Banque 75002 Paris"
"2023/02/07 15:35:01,116",19112,"29 Avenue De Ségur 75007 Paris"
"2023/02/07 16:38:55,737",1,"7 Voie Georges Pompidou 75004 Paris"
"2023/02/07 18:34:40,258",56509,"8 Avenue De La République 94250 Gentilly"
"2023/02/07 20:42:19,575",55602,"3b Rue Rondelet, 75012 Paris, France"
"2023/02/07 20:45:56,248",56555,"Pont De Neuilly, 92081 Courbevoie, France"
"2023/02/07 21:34:14,521",55952,"17 Rue Balzac, 75008 Paris, France"
"2023/02/08 08:07:12,765",13754,"6 Rue Des Petites-Écuries 75010 Paris"
"2023/02/08 08:37:46,689",24414,"28 Rue Beaurepaire 75010 Paris"
"2023/02/08 09:25:09,264",61551,"Allée De Longchamp 75016 Paris"
"2023/02/08 11:33:28,089",11111,"11 Quai De Conti, 75001 Paris, France"
"2023/02/08 12:24:44,456",5971,"29 Rue De Condé 75006 Paris"
"2023/02/08 12:33:33,537",58212,"29 Quai De La Corse 75004 Paris"
"2023/02/08 13:30:41,491",10803,"15 Rue Henri Sainte-Claire Deville 92500 Rueil-Malmaison"
"2023/02/08 15:09:13,514",7387,"27 Rue De L'amiral Mouchez 75013 Paris"
"2023/02/08 15:32:12,138",7554,"86 Avenue De Saint-Ouen, 75018 Paris, France"
"2023/02/08 17:13:21,309",51565,"Italie - Tolbiac"
"2023/02/08 17:23:23,850",41105,"Parc Rives De Seine - Georges Pompidou 75001 Paris"
"2023/02/08 17:40:14,275",21370,"19 Rue Saint-Antoine 75004 Paris"
"2023/02/08 17:59:25,165",61141,"Rue Anselme Payen 75015 Paris"
"2023/02/08 18:17:06,442",51138,"Choisy - Tolbiac"
"2023/02/08 19:14:44,203",61207,"7 Avenue Rapp, 75007 Paris, France"
"2023/02/08 21:55:45,470",21370,"19 Rue Saint-Antoine, 75004 Paris, France"
"2023/02/09 01:35:15,404",31221,"Rue Edmond Flamand, 75013 Paris, France"
"2023/02/09 07:45:53,793",60414,"7 Rue De L'arrivée, 92700 Colombes, France"
"2023/02/09 08:08:59,553",62545,"17 Avenue Paul Vaillant-Couturier, 94800 Villejuif, France"
"2023/02/09 08:29:49,841",58418,"La Nef Des Collines De L'arche, 92800 Puteaux, France"
"2023/02/09 09:02:42,091",55555,"10 Avenue Du 8 Mai 1945, 93500 Pantin, France"
"2023/02/09 09:49:56,945",55162,"45 Rue Des Cheminots 75018 Paris"
"2023/02/09 09:50:23,460",62248,"Gare Routière, 92800 Puteaux, France"
"2023/02/09 10:22:37,791",12263,"200 Rue Du Faubourg Saint-Denis, 75010 Paris, France"
"2023/02/09 12:53:50,322",16807,"37 Rue Du Louvre, 75002 Paris, France"
"2023/02/09 13:36:08,458",6202,"2 Rue Dalayrac 75002 Paris"
"2023/02/09 15:00:15,526",55829,"28 Rue Pasquier 75008 Paris"
"2023/02/09 18:12:53,408",12652,"77 Avenue Philippe Auguste 75011 Paris"
"2023/02/09 19:14:07,456",3086,"Quai Saint-Bernard 75005 Paris"
"2023/02/09 20:08:37,575",56555,"D 7, 92400 Courbevoie, France"
"2023/02/09 20:18:03,532",60397,"4 Rue Des Longues Raies, 75013 Paris, France"
"2023/02/10 00:05:58,869",62912,"3 Avenue Lamartine, 94300 Vincennes, France"
"2023/02/10 02:18:24,209",18120,"Avenue De Gravelle, 94220 Saint-Maurice, France"
"2023/02/10 08:01:46,514",60137,"2 Rue Jules Vallès 75011 Paris"
"2023/02/10 08:37:14,478",33026,"55 Rue Marjolin, 92300 Levallois-Perret, France"
"2023/02/10 10:57:06,693",37870,"172 Allée Des Parfumeurs, 92000 Nanterre, France"
"2023/02/10 11:13:00,465",26935,"1 Rue Jules Lemaître 92310 Sèvres"
"2023/02/10 11:31:30,213",13442,"27 Rue De Crussol 75011 Paris"
"2023/02/10 11:41:17,721",23287,"25 Boulevard De Magenta 75010 Paris"
"2023/02/10 11:49:30,455",60414,"7 Rue De L'arrivée, 92250 La Garenne-Colombes, France"
"2023/02/10 11:47:20,167",60613,"145 Boulevard De Magenta 75010 Paris"
"2023/02/10 12:13:32,748",56567,"161 Rue Saint-Honoré, 75001 Paris, France"
"2023/02/10 12:40:25,868",55030,"187 Rue Du Château Des Rentiers, 75013 Paris, France"
"2023/02/10 12:56:55,728",45556,"11 Rue Des Pavillons 75020 Paris"
"2023/02/10 13:32:34,898",60239,"43 Rue Des Apennins 75017 Paris"
"2023/02/10 13:51:04,887",58901,"3 Rue De La Grande Truanderie 75001 Paris"
"2023/02/10 14:40:56,905",60541,"19 Rue Thérèse 75001 Paris"
"2023/02/10 15:54:44,877",50686,"13 Avenue De La Porte De Vincennes 75020 Paris"
"2023/02/10 17:54:47,161",55002,"110 Quai De Jemmapes 75010 Paris"
"2023/02/10 18:21:07,805",63,"Rue Du Docteur Roux, 94600 Choisy-le-Roi, France"
"2023/02/10 18:37:51,324",9431,"51 Rue Du Parc De Cachan 94230 Cachan"
"2023/02/10 21:42:42,001",60049,"2 Rue De L'aspirant Dargent, 92300 Levallois-Perret, France"
"2023/02/10 22:48:26,123",57079,"8 Rue Saulpic, 94300 Vincennes, France"
"2023/02/10 22:47:47,600",57079,"Rue Saulpic, 94300 Vincennes, France"
"2023/02/10 22:50:32,915",7808,"2 Passage Des Princes, 75002 Paris, France"
"2023/02/10 23:24:18,963",61608,"40 Rue De Provence, 75009 Paris, France"
"2023/02/10 23:52:51,146",51136,"4 Boulevard De La Villette, 75019 Paris, France"
"2023/02/11 08:47:48,740",1948,"72 Rue De Provence 75009 Paris"
"2023/02/11 08:51:15,058",4200,"24 Rue De La Chaussée D'antin 75009 Paris"
"2023/02/11 10:38:38,615",58073,"130 Boulevard De Grenelle, 75015 Paris, France"
"2023/02/11 11:36:07,358",62214,"106b Rue Saint-Lazare 75008 Paris"
"2023/02/11 11:41:21,446",40792,"7 Rue Marie Et Louise 75010 Paris"
"2023/02/11 11:41:45,079",63071,"5 Rue Marie Et Louise 75010 Paris"
"2023/02/11 11:52:52,074",42947,"4 Rue Bichat 75010 Paris"
"2023/02/11 12:17:57,198",57050,"47 Rue Henri Farman 75015 Paris"
"2023/02/11 12:29:56,588",42994,"46 Rue Condorcet 75009 Paris"
"2023/02/11 12:49:04,459",55370,"167 Boulevard Galliéni, 92390 Villeneuve-la-Garenne, France"
"2023/02/11 12:41:04,907",60137,"4 Rue Jules Vallès 75011 Paris"
"2023/02/11 13:14:27,759",15535,"175 Rue De La Porte De Trivaux 92140 Clamart"
"2023/02/11 13:21:32,100",9683,"9 Avenue Du 8 Mai 1945, 93500 Pantin, France"
"2023/02/11 13:21:04,446",58750,"9 Avenue Du 8 Mai 1945, 93500 Pantin, France"
"2023/02/11 13:33:08,469",60184,"11 Rue De La Cour Des Noues 75020 Paris"
"2023/02/11 13:35:48,738",62525,"2 Sentier De La Belgique, 92190 Meudon, France"
"2023/02/11 15:29:32,322",2338,"1 Quai Lucien Lefranc 93300 Aubervilliers"
"2023/02/11 15:20:48,315",26288,"236b Boulevard Pereire 75017 Paris"
"2023/02/11 15:49:39,267",4473,"Rue Pierre Mauroy, 94230 Cachan, France"
"2023/02/11 15:47:18,437",35717,"16 Rue Savier 92240 Malakoff"
"2023/02/11 17:36:59,581",26436,"Place Du Trocadéro Et Du 11 Novembre 1918, 75016 Paris, France"
"2023/02/11 17:46:21,886",2179,"4 Rue Francis Jammes, 75010 Paris, France"
"2023/02/11 17:52:16,984",62186,"168 Avenue Du Colonel Fabien 93230 Romainville"
"2023/02/11 17:50:40,318",63150,"49 Avenue Galois, 92340 Bourg-la-Reine, France"
"2023/02/11 18:25:04,418",56045,"10 Rue D'aligre, 75012 Paris, France"
"2023/02/11 20:21:02,445",37632,"10 Rue Marcel Carné 93300 Aubervilliers"
"2023/02/12 00:27:25,915",35717,"14 Rue Savier, 92240 Malakoff, France"
"2023/02/12 00:35:52,771",50430,"4 Allée De L'hotel De Ville 92500 Rueil-Malmaison"
"2023/02/12 01:40:51,699",38162,"Esplanade Pierre Vidal-Naquet, 75013 Paris, France"
"2023/02/12 01:45:17,592",61896,"Boulevard De Bercy, 75012 Paris, France"
"2023/02/12 09:12:25,123",62525,"2 Sentier De La Belgique 92190 Meudon"
"2023/02/12 09:38:18,995",58780,"97 Boulevard Saint-Michel 75005 Paris"
"2023/02/12 10:08:24,480",62665,"5 Rue Cernuschi, 75017 Paris, France"
"2023/02/12 11:54:09,038",31285,"12 Rue De La Mare, 75020 Paris, France"
"2023/02/12 12:08:37,623",35717,"14 Rue Savier, 92240 Malakoff, France"
"2023/02/12 12:13:59,421",35717,"14 Rue Savier, 92240 Malakoff, France"
"2023/02/12 12:36:56,023",4448,"2 Rue De Montalembert, 75007 Paris, France"
"2023/02/12 12:35:29,559",57000,"Avenue Du Général De Gaulle 94700 Maisons-Alfort"
"2023/02/12 14:11:54,848",45089,"168 Rue De Rivoli, 75001 Paris, France"
"2023/02/12 15:41:47,623",26618,"15 Rue Saint-Exupéry, 92360 Meudon, France"
"2023/02/12 15:59:13,574",55810,"13 Rue Albert Sorel 75014 Paris"
"2023/02/12 17:00:55,197",14234,"23 Rue Dunois 75013 Paris"
"2023/02/12 17:18:37,745",2992,"10 Rue Charles Calmus, 94250 Gentilly, France"
"2023/02/12 17:52:16,498",39882,"167 Rue Gabriel Péri, 94400 Vitry-sur-Seine, France"
"2023/02/12 17:52:29,524",56818,"7 Place De La Concorde, 75008 Paris, France"
"2023/02/12 18:44:28,189",55439,"38 Boulevard Rodin, 92130 Issy-les-Moulineaux, France"
"2023/02/12 20:42:41,340",56416,"16 Rue Roger Mordrel, 94140 Alfortville, France"
"2023/02/13 07:58:15,350",56576,"Rue Saint-Charles 75015 Paris"
"2023/02/13 08:09:41,351",61431,"15 Rue Ernest Cresson, 75014 Paris, France"
"2023/02/13 08:47:48,741",4473,"Rue Pierre Mauroy 94230 Cachan"
"2023/02/13 09:07:53,394",62092,"9 Avenue Édouard Vaillant 92150 Suresnes"
"2023/02/13 09:53:14,264",12068,"Rond-Point De Ciechanow, 92190 Meudon, France"
"2023/02/13 10:01:29,188",62297,"7 Rond-Point Du Pont Mirabeau 75015 Paris"
"2023/02/13 10:48:40,675",60773,"Avenue Perronet Nord, 92800 Puteaux, France"
"2023/02/13 10:58:02,177",63582,"Passage A/2, 75002 Paris, France"
"2023/02/13 12:31:05,842",62817,"152 Rue Danton 92300 Levallois-Perret"
"2023/02/13 12:32:13,033",63178,"143 Rue Danton 92300 Levallois-Perret"
"2023/02/13 13:23:24,090",56198,"10 Port De Javel-Haut, 75015 Paris, France"
"2023/02/13 13:45:55,716",52291,"4 Avenue Saint-Joseph, 92600 Asnières-sur-Seine, France"
"2023/02/13 15:24:57,924",57815,"29 Avenue Charles V, 94130 Nogent-sur-Marne, France"
"2023/02/13 15:43:16,632",58691,"67 Avenue Raspail, 94250 Gentilly, France"
"2023/02/13 16:08:56,973",55439,"44 Boulevard Rodin, 92130 Issy-les-Moulineaux, France"
"2023/02/13 17:44:13,109",56723,"3 Rue De Clignancourt 75018 Paris"
"2023/02/13 18:12:40,188",2859,"2 Passage Planchard, 75020 Paris, France"
"2023/02/13 19:42:26,800",57665,"176 Avenue Jean Jaurès 75019 Paris"
"2023/02/13 20:21:38,155",34131,"15 Rue Guénot 75011 Paris"
"2023/02/13 23:07:53,264",57919,"Place Charles Vallin 75015 Paris"
"2023/02/14 07:03:07,171",56974,"4 Place De Bagatelle 92200 Neuilly-sur-Seine"
"2023/02/14 08:53:05,040",61163,"39 Rue Beauregard 75002 Paris"
"2023/02/14 09:14:26,316",60253,"7 Rue De L'ancienne Mairie, 92110 Clichy, France"
"2023/02/14 09:52:35,617",37067,"112 Avenue De France 75013 Paris"
"2023/02/14 10:21:08,593",31109,"63 Rue Galliéni, 92500 Rueil-Malmaison, France"
"2023/02/14 11:52:45,615",9546,"Place Baudoyer 75004 Paris"
"2023/02/14 12:01:32,136",10803,"15 Rue Henri Sainte-Claire Deville 92500 Rueil-Malmaison"
"2023/02/14 12:10:20,289",60697,"18 Boulevard De Charonne, 75020 Paris, France"
"2023/02/14 12:37:17,904",55439,"42 Boulevard Rodin 92130 Issy-les-Moulineaux"
"2023/02/14 12:57:46,897",31136,"75 Rue Alexandre Dumas, 75020 Paris, France"
"2023/02/14 12:54:56,927",55622,"116 Boulevard Macdonald 75019 Paris"
"2023/02/14 13:37:59,490",32233,"72 Boulevard Du Général Gallieni, 94360 Bry-sur-Marne, France"
"2023/02/14 13:37:54,192",63221,"1 Place De L'église 94800 Villejuif"
"2023/02/14 16:13:02,137",19573,"223 Rue Du Faubourg Saint-Antoine 75011 Paris"
"2023/02/14 17:52:51,203",40042,"71 Boulevard De Magenta 75010 Paris"
"2023/02/14 19:06:27,036",55703,"78 Rue De La Nouvelle France 93100 Montreuil"
"2023/02/14 19:43:41,651",57375,"4c Boulevard De La Gare 94470 Boissy-Saint-Léger"
"2023/02/14 21:59:53,261",55494,"Place Aimé Césaire, 93100 Montreuil, France"
"2023/02/14 22:04:28,967",62082,"Place Jean-Spire-Lemaître, 94300 Vincennes, France"
"2023/02/15 00:39:03,103",39036,"11b Avenue Mac-Mahon, 75017 Paris, France"
"2023/02/15 00:30:07,856",57970,"3 Place Du 25 Août 1944, 75014 Paris, France"
"2023/02/15 00:32:45,078",57970,"8 Place Du Vingt-Cinq Août 1944, 75014 Paris, France"
"2023/02/15 02:19:20,366",57970,"11 Quai De Conti, 75001 Paris, France"
"2023/02/15 02:18:44,363",57970,"5 Place Du Vingt-Cinq Août 1944, 75014 Paris, France"
"2023/02/15 06:58:07,491",24444,"18 Allées De L'europe, 92110 Clichy, France"
"2023/02/15 08:29:33,780",41106,"69 Quai D'austerlitz, 75013 Paris, France"
"2023/02/15 08:39:20,204",61780,"22 Boulevard Galliéni 92390 Villeneuve-la-Garenne"
"2023/02/15 08:41:41,323",55370,"4 Boulevard Galliéni 92390 Villeneuve-la-Garenne"
"2023/02/15 09:40:51,281",4415,"274 Avenue Des Grésillons 92600 Asnières-sur-Seine"
"2023/02/15 09:41:57,987",34118,"274 Avenue Des Grésillons 92600 Asnières-sur-Seine"
"2023/02/15 09:41:30,306",50937,"274 Avenue Des Grésillons 92600 Asnières-sur-Seine"
"2023/02/15 09:59:45,469",62449,"3 Rue Poissonnière 92230 Gennevilliers"
"2023/02/15 09:54:51,621",63308,"1 Allée Des Rosiers 92230 Gennevilliers"
"2023/02/15 12:05:26,628",52291,"4 Avenue Saint-Joseph 92600 Asnières-sur-Seine"
"2023/02/15 12:40:13,148",61803,"15 Rue Des Indes, 95100 Argenteuil, France"
"2023/02/15 12:59:48,240",26758,"12 Avenue Marcel Martinie, 92170 Vanves, France"
"2023/02/15 13:09:33,471",63314,"46 Rue Pierre Timbaud 92230 Gennevilliers"
"2023/02/15 14:03:42,619",13136,"40 Rue Planchat 75020 Paris"
"2023/02/15 14:36:46,143",60455,"14 Rue Mahias 92100 Boulogne-Billancourt"
"2023/02/15 16:12:22,066",24901,"61 Rue Letort 75018 Paris"
"2023/02/15 16:11:57,936",51472,"123 Quai De Valmy 75010 Paris"
"2023/02/15 16:17:12,195",62184,"147 Rue Raymond Losserand, 75014 Paris, France"
"2023/02/15 17:37:06,077",1234,"131 Rue Du Faubourg Saint-Denis 75010 Paris"
"2023/02/15 17:39:28,650",55822,"22 Rue Lalo 75116 Paris"
"2023/02/15 17:33:15,225",62001,"32 Avenue Georges Clémenceau, 94700 Maisons-Alfort, France"
"2023/02/15 17:36:40,870",67504,"245 Rue De Belleville, 75019 Paris, France"
"2023/02/15 18:26:43,171",63071,"7 Rue Marie Et Louise 75010 Paris"
"2023/02/15 18:33:21,871",11318,"87 Quai De Valmy 75010 Paris"
"2023/02/15 19:31:05,481",60232,"Rue De Lyon, 75012 Paris, France"
"2023/02/15 19:39:37,401",62116,"8 Rue Claude Matrat, 92130 Issy-les-Moulineaux, France"
"2023/02/15 21:04:31,040",56381,"10 Rue Valette 93100 Montreuil"
"2023/02/15 22:37:45,761",62444,"9 Rue Robert Lindet 75015 Paris"
